"","X","pais","lib.democracy","va","rl","pp.urbana","PS.legitimacy","F.economy","cc","rq","expec","mort.intantil","sec.erollment","cres.PIB","desemprego","inequality.index","eff.DEA","catg_democracy","eff.ajust","bias"
"1",1,"Albania",0.402,0.17,-0.16,64.603,3.8,6.1,-0.33,0.17,79.6019,0.9487001,95.70341,1.00051371281554,11.584,34.35,0.749931976054199,2,0.707216944540154,0.0427150315140444
"2",2,"Algeria",0.121,-0.98,-0.68,75.268,5,6.2,-0.59,-0.95,76.261,2.119,102.70215,1.0002551196873,11.814,48.76,0.813501957011538,1,0.738165963632713,0.0753359933788258
"3",3,"Argentina",0.69,0.53,-0.41,92.463,4.2,6.6,-0.36,-0.48,77.3947,1.0295,116.55945,0.999810705515895,6.178,43.37,0.723388221152388,3,0.687599341397818,0.0357888797545697
"4",4,"Armenia",0.422,0.08,-0.12,63.739,3.4,6.4,0.06,0.05,75.6827,0.98249996,96.86456,1.00075142417927,8.586,39.64,0.783252742237831,2,0.739537580571502,0.0437151616663299
"5",5,"Australia",0.804,1.51,1.52,86.617,2.2,1.6,1.78,1.94,83.9228,0.3811,133.27727,1.00009410093229,3.667,32.97,0.652910323319903,4,0.635569758460157,0.0173405648597463
"6",6,"Austria",0.773,1.41,1.75,59.53,1.7,1.2,1.13,1.36,81.9559,0.3497,101.458,0.999806985338079,5.243,34.44,0.676935295278313,4,0.661187914194855,0.015747381083458
"7",7,"Azerbaijan",0.064,-1.41,-0.57,57.577,4.9,4.5,-1.2,-0.11,74.4286,1.749,80.6305,1.00010024510049,5.636,36.75,0.765023016786573,0,0.688810379520548,0.0762126372660249
"8",8,"Bahrain",0.054,-1.38,0.47,89.869,2.9,3.6,0.18,1.08,81.2835,0.6334,103.49097,0.999956132777743,1.16,57.010002,0.757344820991325,0,0.717460312241596,0.0398845087497287
"9",9,"Bangladesh",0.096,-0.75,-0.5,40.473,7.9,5.1,-1.12,-0.91,74.6723,2.7568002,71.822,1.00044906989744,5.06,41.760002,0.793720129921506,0,0.713177921502976,0.0805422084185295
"10",10,"Barbados",0.678,1.16,0.41,31.425,3.5,6,1.34,0.5,76.1782,1.048,106.39241,1.00040871790025,7.954,48.57,0.770260208323776,3,0.738499018423127,0.0317611899006487
"11",11,"Belarus",0.036,-1.67,-1.25,80.731,2.7,5.3,-0.67,-1.42,74.4339,0.2419,94.5359,1.00044496014368,3.574,31.55,0.848222646733887,0,0.767696938316138,0.0805257084177485
"12",12,"Belgium",0.814,1.33,1.3,98.189,2.5,4.6,1.34,1.17,82.115,0.3879,143.16351,1.00003307563009,5.508,32.370003,0.677136192464812,4,0.662647457961193,0.0144887345036195
"13",13,"Benin",0.325,-0.22,-0.51,50.1,8.3,6.8,-0.05,-0.3,60.7738,7.8616996,45.36517,1.00037033644888,1.452,43,0.928013850590893,2,0.872939126221843,0.0550747243690498
"14",14,"Bhutan",0.445,0.2,0.67,44.35,5.6,5.6,1.53,-0.4,72.9753,2.2670999,88.193,1,5.653,41.57,0.762874497754109,2,0.73110899989911,0.0317654978549993
"15",15,"Bolivia",0.353,-0.27,-1.22,71.186,6.3,5.7,-0.84,-1.18,68.5814,4.1400003,91.46737,1.00016759754703,3.081,51.81,0.915024100853329,2,0.832289859426744,0.0827342414265849
"16",16,"Bosnia and Herzegovina",0.346,-0.32,-0.35,50.269,4.2,6.6,-0.58,-0.14,77.8504,0.5953,83.896,1.00028442422653,10.42,34.03,0.749736023584019,2,0.704858253261505,0.0448777703225144
"17",17,"Botswana",0.434,0.5,0.39,72.867,6.3,6.6,0.69,0.5,69.1631,3.7622,70.01839,1.00010623805145,23.381,58.929996,1,2,0.855783514507854,0.144216485492146
"18",18,"Brazil",0.692,0.38,-0.31,87.788,7.2,6.6,-0.5,-0.3,75.8482,1.3770001,106.6519,1.000250184758,7.95,59.210003,0.838702568903636,3,0.747943795200955,0.0907587737026819
"19",19,"Bulgaria",0.588,0.39,-0.01,76.701,3.9,4.4,-0.14,0.41,75.6363,0.5653,89.73564,1.00049960512497,4.295,41.56,0.747525814988882,3,0.715245962547643,0.0322798524412389
"20",20,"Burkina Faso",0.182,-0.81,-0.74,32.52,8.6,7.2,-0.17,-0.49,61.092,7.7144,33.72491,1.00006495807526,5.293,46.86,0.932645787654936,1,0.848486718343391,0.0841590693115449
